@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0000754	U+12370	oCC
o0032011	U+12371	oCC
o0032013	U+12372	oCC
o0032015	U+12373	oCC
o0032005	U+12374	oCC
o0032017	U+12375	oCC
o0001107	U+12377	oCC
o0001121	U+12378	oCC
o0021744	U+12379	oCC
o0221935	U+1237A	oCC
o0000209	U+1237B	oCC
o0000212	U+1237C	oCC
o0001444	U+1237D	oCC
o0032019	U+1237E	oCC
o0001608	U+1237F	oCC
o0001633	U+12380	oCC
o0027998	U+12381	oCC
o0001636	U+12382	oCC
o0001646	U+12383	oCC
o0001652	U+12384	oCC
o0032023	U+12385	oCC
o0001660	U+12386	oCC
o0001665	U+12387	oCC
o0032025	U+12388	oCC
o0001957	U+12389	oCC
o0021745	U+1238A	oCC
o0001987	U+1238B	oCC
o0002011	U+1238C	oCC
o0018588	U+1238D	oCC
o0002079	U+1238E	oCC
o0002323	U+1238F	oCC
o0002305	U+12390	oCC
o0002097	U+12391	oCC
o0023070	U+12392	oCC
o0000492	U+12393	oCC
o0032007	U+12394	oCC
o0032009	U+12395	oCC
o0032027	U+12396	oCC
o0027220	U+12397	oCC
o0028066	U+12398	oCC
o0002475	U+12399	oCC
o0000009	U+12400	oCC
o0000020	U+12401	oCC
o0000034	U+12402	oCC
o0000047	U+12403	oCC
o0000059	U+12404	oCC
o0000066	U+12405	oCC
o0000074	U+12406	oCC
o0000079	U+12407	oCC
o0000027	U+12408	oCC
o0000040	U+12409	oCC
o0000052	U+1240A	oCC
o0000062	U+1240B	oCC
o0000068	U+1240C	oCC
o0000075	U+1240D	oCC
o0000080	U+1240E	oCC
o0000043	U+1240F	oCC
o0000055	U+12410	oCC
o0000064	U+12411	oCC
o0000072	U+12412	oCC
o0000077	U+12413	oCC
o0000085	U+12414	oCC
o0000007	U+12415	oCC
o0000017	U+12416	oCC
o0000029	U+12417	oCC
o0000042	U+12418	oCC
o0000054	U+12419	oCC
